#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR210324.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR210324_mtphlan.txt
#1489148 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.42593	
k__Archaea	2157	0.57407	
k__Bacteria|p__Firmicutes	2|1239	57.33436	
k__Bacteria|p__Bacteroidota	2|976	28.977	
k__Bacteria|p__Actinobacteria	2|201174	4.38834	
k__Bacteria|p__Proteobacteria	2|1224	4.06754	
k__Bacteria|p__Tenericutes	2|544448	2.75654	
k__Bacteria|p__Verrucomicrobia	2|74201	1.79079	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.37039	
k__Archaea|p__Euryarchaeota	2157|28890	0.20368	
k__Bacteria|p__Lentisphaerae	2|256845	0.11137	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	27.9813	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.39431	
k__Bacteria|p__Firmicutes|c__CFGB2833	2|1239|	5.85808	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	4.12377	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	2.75654	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.71935	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.41059	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	2.2088	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	2.01942	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	1.83016	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	1.7277	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.63061	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.54349	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.52753	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	1.31155	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.19517	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	1.17533	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	1.05984	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.982	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.71943	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.7134	
k__Bacteria|p__Firmicutes|c__CFGB78461	2|1239|	0.69801	
k__Bacteria|p__Firmicutes|c__CFGB6280	2|1239|	0.64315	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.6372	
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.45264	
