#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209686_1.fastq,/media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209686_2.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR209686_mtphlan.txt --bowtie2out /mnt/data/output/ERR209686.bowtie2out.bz2
#8211026 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.89139	
k__Archaea	2157	0.10861	
k__Bacteria|p__Firmicutes	2|1239	67.70911	
k__Bacteria|p__Bacteroidota	2|976	30.12126	
k__Bacteria|p__Proteobacteria	2|1224	1.41038	
k__Bacteria|p__Actinobacteria	2|201174	0.4563	
k__Bacteria|p__Tenericutes	2|544448	0.19203	
k__Archaea|p__Euryarchaeota	2157|28890	0.10861	
k__Bacteria|p__Lentisphaerae	2|256845	0.00231	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.10162	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	14.18893	
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	8.7195	
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	7.16369	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	4.63519	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.86149	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.40815	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.3902	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.34608	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.01588	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.74881	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.67843	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.48366	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.39404	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.316	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.30212	
k__Bacteria|p__Firmicutes|c__CFGB51793	2|1239|	0.26547	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.24749	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.19349	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.19203	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.182	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.16078	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.15799	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.1564	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.13705	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.13114	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.13072	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.11408	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.10861	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.09912	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.09191	
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.07695	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.06659	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.06567	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.06431	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.05999	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.05849	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.05604	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.05459	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.05046	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.04303	
