#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209809_1.fastq,/media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209809_2.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR209809_mtphlan.txt --bowtie2out /mnt/data/output/ERR209809.bowtie2out.bz2
#44850003 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.98708	
k__Eukaryota	2759	0.01292	
k__Bacteria|p__Firmicutes	2|1239	70.21086	
k__Bacteria|p__Bacteroidota	2|976	25.06883	
k__Bacteria|p__Actinobacteria	2|201174	3.36482	
k__Bacteria|p__Proteobacteria	2|1224	0.99081	
k__Bacteria|p__Verrucomicrobia	2|74201	0.27891	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.07285	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.01292	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.49096	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	24.97991	
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	3.95044	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.88845	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	2.24425	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.12425	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.92211	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	1.38416	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.37928	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.92141	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.8767	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.78218	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.76507	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.54494	
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.52143	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.4921	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.45581	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.37149	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.32694	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.32629	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.29462	
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.2862	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.27891	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.20343	
k__Bacteria|p__Firmicutes|c__CFGB2833	2|1239|	0.17567	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.16435	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.1343	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.13359	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.11919	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.1018	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.09509	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.07672	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.07349	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.07285	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07146	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.06721	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.04945	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.04746	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.04701	
k__Bacteria|p__Firmicutes|c__CFGB10290	2|1239|	0.04563	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.04428	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.04233	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.03924	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.03872	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.03744	
k__Bacteria|p__Firmicutes|c__CFGB1012	2|1239|	0.03599	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.03256	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.02785	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.02483	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.0232	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.02172	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.02128	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.01922	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.01783	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.01718	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.01552	
k__Bacteria|p__Firmicutes|c__CFGB3040	2|1239|	0.01502	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.01492	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0148	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.01439	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.01326	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.01292	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.01269	
k__Bacteria|p__Firmicutes|c__CFGB45555	2|1239|	0.01173	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.01162	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.01161	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01068	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.01058	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.00825	
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.00816	
k__Bacteria|p__Firmicutes|c__CFGB3625	2|1239|	0.00794	
k__Bacteria|p__Firmicutes|c__CFGB2959	2|1239|	0.0066	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.00632	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.00614	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.00596	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.00559	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.00417	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.00383	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.00381	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.00369	
k__Bacteria|p__Firmicutes|c__CFGB10881	2|1239|	0.00343	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.0032	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00311	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00306	
k__Bacteria|p__Actinobacteria|c__CFGB2801	2|201174|	0.00259	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.00255	
k__Bacteria|p__Firmicutes|c__CFGB1779	2|1239|	0.00239	
k__Bacteria|p__Firmicutes|c__CFGB24517	2|1239|	0.00233	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.00164	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.00132	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.00126	
k__Bacteria|p__Firmicutes|c__CFGB78645	2|1239|	0.00084	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.00072	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00068	
k__Bacteria|p__Firmicutes|c__CFGB8294	2|1239|	0.0004	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.481	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	24.97991	
k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778	2|1239||	3.95044	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	2.88845	
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	2|1239||	2.24425	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.12425	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	1.92211	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	1.38416	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.37928	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.92141	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.8767	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.76507	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.74636	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.54494	
k__Bacteria|p__Firmicutes|c__CFGB10309|o__OFGB10309	2|1239||	0.52143	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.4921	
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	2|201174||	0.45581	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.37149	
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294	2|1239||	0.32694	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	2|1224||	0.32629	
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474	2|1239||	0.29462	
k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318	2|1239||	0.2862	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.27891	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.20343	
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833	2|1239||	0.17567	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.16435	
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.1343	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.13359	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.11919	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.1018	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.09509	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.07672	
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	0.07349	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	2|1798710||	0.07285	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.07146	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.06721	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	0.04945	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.04746	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.04701	
k__Bacteria|p__Firmicutes|c__CFGB10290|o__OFGB10290	2|1239||	0.04563	
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970	2|1239||	0.04428	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.04233	
k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930	2|1239||	0.03924	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.03872	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	0.03744	
k__Bacteria|p__Firmicutes|c__CFGB1012|o__OFGB1012	2|1239||	0.03599	
