#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209541_1.fastq,/media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209541_2.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR209541_mtphlan.txt --bowtie2out /mnt/data/output/ERR209541.bowtie2out.bz2
#7991028 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.99277	
k__Archaea	2157	1.00723	
k__Bacteria|p__Firmicutes	2|1239	46.95705	
k__Bacteria|p__Bacteroidota	2|976	44.10093	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	7.00704	
k__Archaea|p__Euryarchaeota	2157|28890	1.00723	
k__Bacteria|p__Proteobacteria	2|1224	0.79367	
k__Bacteria|p__Tenericutes	2|544448	0.13409	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	43.0878	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	28.2913	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.7902	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	7.00704	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	3.80786	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	1.58518	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.00723	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.75838	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.71818	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3044	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.29495	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.26142	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.18113	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.17305	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.13409	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.11383	
k__Bacteria|p__Firmicutes|c__CFGB2889	2|1239|	0.09568	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.09134	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.0798	
k__Bacteria|p__Firmicutes|c__CFGB1780	2|1239|	0.05511	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.04228	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.03563	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.03529	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.02794	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.00696	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.0064	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.00479	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00277	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	43.0878	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	28.2913	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	7.29225	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	2|1798710||	7.00704	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	3.80786	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.03429	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	1.58518	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.46365	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.00723	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.75838	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.71818	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3044	
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	2|976||	0.29495	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	2|1239||	0.26142	
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	2|1239||	0.18113	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.17305	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	0.13409	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.11383	
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889	2|1239||	0.09568	
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.09134	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.0798	
k__Bacteria|p__Firmicutes|c__CFGB1780|o__OFGB1780	2|1239||	0.05511	
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	2|1239||	0.04228	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.03563	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	2|1224||	0.03529	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.02794	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.00696	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.0064	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.00479	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.00277	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	27.5568	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	18.94556	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	12.75896	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	7.29225	
