#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR210436.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR210436_mtphlan.txt
#878511 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.42833	
k__Archaea	2157	0.57167	
k__Bacteria|p__Firmicutes	2|1239	58.51405	
k__Bacteria|p__Bacteroidota	2|976	33.58634	
k__Bacteria|p__Verrucomicrobia	2|74201	2.97877	
k__Bacteria|p__Proteobacteria	2|1224	2.27037	
k__Bacteria|p__Tenericutes	2|544448	1.17078	
k__Bacteria|p__Actinobacteria	2|201174	0.60655	
k__Archaea|p__Euryarchaeota	2157|28890	0.57167	
k__Bacteria|p__Lentisphaerae	2|256845	0.19431	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.10716	
k__Bacteria|p__Bacteroidota|c__CFGB343	2|976|	28.848	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.6221	
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	5.77604	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.73834	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	3.70851	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	3.19324	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.17125	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.15585	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	1.93701	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	1.8668	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	1.7475	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	1.60674	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	1.5988	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.54597	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	1.39483	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.39063	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	1.17078	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.14288	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.99948	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.83648	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.82293	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.69258	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.60655	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.57167	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.55477	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.50879	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.43895	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.39834	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.37732	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.34505	
k__Bacteria|p__Firmicutes|c__CFGB1785	2|1239|	0.33221	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.32665	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.27962	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.23879	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.23688	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.22042	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.20633	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.19431	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.18216	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.16253	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.15946	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.10716	
k__Bacteria|p__Firmicutes|c__CFGB58291	2|1239|	0.10591	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.10198	
k__Bacteria|p__Firmicutes|c__CFGB2833	2|1239|	0.08791	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.07382	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.06675	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.05228	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.0406	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.0328	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.0167	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.00656	
