#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR210496.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR210496_mtphlan.txt
#826428 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.62322	
k__Archaea	2157	0.37678	
k__Bacteria|p__Firmicutes	2|1239	55.53494	
k__Bacteria|p__Bacteroidota	2|976	37.44195	
k__Bacteria|p__Verrucomicrobia	2|74201	3.4532	
k__Bacteria|p__Proteobacteria	2|1224	1.1723	
k__Bacteria|p__Actinobacteria	2|201174	0.96388	
k__Bacteria|p__Lentisphaerae	2|256845	0.90198	
k__Archaea|p__Euryarchaeota	2157|28890	0.37678	
k__Bacteria|p__Tenericutes	2|544448	0.15497	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	34.90239	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	34.84836	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	3.97503	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.47085	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	3.30493	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	2.42764	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	2.18441	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.16054	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	1.37899	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.05049	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.96876	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.90198	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.82526	
k__Bacteria|p__Verrucomicrobia|c__CFGB2164	2|74201|	0.75151	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.684	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.63515	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.56767	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.54115	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.47651	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.47546	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.45812	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.37678	
